event_id,from_grade,to_grade,bw_target,aggressiveness,steam_ramp_rate,filler_step_size,speed_delta,moisture_lag_steps,max_deviation_pct,went_offspec,stabilization_time
0,Grade-A (Light),Grade-D (Specialty),95.0,0.496,0.351,4.817,2.922,8,1.546,False,32
1,Grade-C (Heavy),Grade-B (Standard),60.0,0.329,0.203,2.726,2.767,4,0.67,False,32
2,Grade-C (Heavy),Grade-D (Specialty),95.0,0.461,0.446,3.853,3.661,4,1.02,False,32
3,Grade-D (Specialty),Grade-B (Standard),60.0,0.187,0.191,3.529,1.573,3,0.953,False,32
4,Grade-C (Heavy),Grade-D (Specialty),95.0,0.228,0.321,3.569,1.961,5,0.567,False,32
5,Grade-A (Light),Grade-B (Standard),60.0,0.334,0.504,4.041,1.521,6,1.392,False,32
6,Grade-A (Light),Grade-C (Heavy),80.0,0.555,0.537,5.408,4.337,9,2.814,True,34
7,Grade-A (Light),Grade-C (Heavy),80.0,0.348,0.244,3.891,2.724,4,1.284,False,32
8,Grade-D (Specialty),Grade-C (Heavy),80.0,0.278,0.456,3.148,2.654,4,0.63,False,32
9,Grade-A (Light),Grade-B (Standard),60.0,0.09,0.161,2.0,1.0,3,0.713,False,32
10,Grade-B (Standard),Grade-D (Specialty),95.0,0.494,0.399,3.426,2.409,4,1.233,False,32
11,Grade-B (Standard),Grade-A (Light),45.0,0.351,0.549,4.604,1.934,4,1.354,False,32
12,Grade-D (Specialty),Grade-C (Heavy),80.0,0.18,0.39,2.0,1.327,3,0.618,False,32
13,Grade-A (Light),Grade-B (Standard),60.0,0.376,0.225,4.219,2.128,4,1.106,False,32
14,Grade-C (Heavy),Grade-B (Standard),60.0,0.076,0.15,3.615,1.064,3,0.882,False,32
15,Grade-D (Specialty),Grade-B (Standard),60.0,0.745,0.695,7.346,3.902,6,3.79,True,39
16,Grade-D (Specialty),Grade-B (Standard),60.0,0.353,0.283,4.082,1.815,6,1.056,False,32
17,Grade-C (Heavy),Grade-A (Light),45.0,0.507,0.59,5.17,3.368,7,2.295,False,32
18,Grade-A (Light),Grade-B (Standard),60.0,0.459,0.485,3.583,3.775,6,1.885,False,32
19,Grade-B (Standard),Grade-C (Heavy),80.0,0.355,0.227,3.245,3.304,5,0.878,False,32
20,Grade-D (Specialty),Grade-B (Standard),60.0,0.375,0.485,3.83,1.895,5,0.766,False,32
21,Grade-B (Standard),Grade-D (Specialty),95.0,0.323,0.224,4.267,3.596,4,1.204,False,32
22,Grade-A (Light),Grade-B (Standard),60.0,0.448,0.548,5.422,2.309,6,2.614,True,34
23,Grade-B (Standard),Grade-D (Specialty),95.0,0.169,0.397,3.237,1.148,3,1.095,False,32
24,Grade-A (Light),Grade-C (Heavy),80.0,0.611,0.661,6.017,3.768,9,3.558,True,37
25,Grade-C (Heavy),Grade-B (Standard),60.0,0.494,0.436,4.702,3.357,7,1.403,False,32
26,Grade-D (Specialty),Grade-C (Heavy),80.0,0.174,0.15,2.0,1.391,4,0.673,False,32
27,Grade-A (Light),Grade-C (Heavy),80.0,0.605,0.677,4.385,3.673,8,2.562,True,35
28,Grade-A (Light),Grade-C (Heavy),80.0,0.569,0.695,5.313,3.927,5,3.423,True,37
29,Grade-D (Specialty),Grade-B (Standard),60.0,0.443,0.301,4.636,2.46,7,0.717,False,32
30,Grade-C (Heavy),Grade-D (Specialty),95.0,0.483,0.448,3.922,3.241,7,1.397,False,32
31,Grade-B (Standard),Grade-C (Heavy),80.0,0.616,0.515,6.291,2.571,8,1.892,False,32
32,Grade-A (Light),Grade-D (Specialty),95.0,0.117,0.363,4.268,2.651,4,1.558,False,32
33,Grade-C (Heavy),Grade-B (Standard),60.0,0.238,0.199,4.144,2.191,6,0.809,False,32
34,Grade-D (Specialty),Grade-A (Light),45.0,0.577,0.388,6.022,3.583,7,1.89,False,32
35,Grade-C (Heavy),Grade-B (Standard),60.0,0.192,0.436,2.854,2.406,3,0.806,False,32
36,Grade-A (Light),Grade-B (Standard),60.0,0.654,0.743,7.069,4.243,8,5.403,True,41
37,Grade-C (Heavy),Grade-A (Light),45.0,0.134,0.15,2.0,1.03,3,2.132,False,32
38,Grade-B (Standard),Grade-A (Light),45.0,0.153,0.197,2.512,1.605,3,0.919,False,32
39,Grade-B (Standard),Grade-C (Heavy),80.0,0.286,0.226,2.61,2.904,3,0.769,False,32
40,Grade-B (Standard),Grade-C (Heavy),80.0,0.405,0.3,3.144,3.141,7,0.981,False,32
41,Grade-C (Heavy),Grade-A (Light),45.0,0.574,0.673,6.91,3.225,6,4.047,True,57
42,Grade-D (Specialty),Grade-C (Heavy),80.0,0.733,0.763,7.486,4.511,9,4.146,True,39
43,Grade-D (Specialty),Grade-C (Heavy),80.0,0.512,0.473,6.119,4.467,5,2.024,False,32
44,Grade-A (Light),Grade-C (Heavy),80.0,0.444,0.371,4.773,2.927,5,1.618,False,32
45,Grade-A (Light),Grade-C (Heavy),80.0,0.405,0.535,3.375,1.674,4,1.337,False,32
46,Grade-A (Light),Grade-B (Standard),60.0,0.03,0.15,2.246,1.0,3,0.811,False,32
47,Grade-B (Standard),Grade-C (Heavy),80.0,0.355,0.476,5.502,1.974,3,1.508,False,32
48,Grade-C (Heavy),Grade-D (Specialty),95.0,0.218,0.294,2.541,2.279,3,0.727,False,32
49,Grade-C (Heavy),Grade-D (Specialty),95.0,0.489,0.433,4.513,3.733,8,1.302,False,32
